Graph Info:	./input_data/sphere/t_9.txt	Number of Vertices	39368
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	20250	1.51489	107.98	5	1.99962	250.75	65	1.99370	277.80
1	19728	1.55296	128.38	9	1.99947	206.41	32	1.99688	308.28
2	20220	1.04713	138.85	5	1.99962	186.89	7	1.99931	247.23
3	19986	1.03910	112.47	5	1.99962	196.94	56	1.99552	340.00
4	17970	1.72649	106.12	15	1.78699	209.28	36	1.78434	260.71
5	19986	1.03910	123.40	9	1.99947	191.39	65	1.99393	293.08
6	17970	1.72649	105.49	13	1.79357	193.90	13	1.79337	251.42
7	17970	1.72649	112.43	11	1.48479	227.32	202	1.47700	322.98
8	19632	1.55943	98.74	9	1.99947	197.43	113	1.99031	250.67
9	20436	1.50310	119.24	5	1.99962	198.36	32	1.99643	264.69
10	19368	1.01537	147.42	10	1.87074	193.73	139	1.85249	271.43
11	18700	1.56077	116.85	7	1.99954	194.27	198	1.98431	256.19
12	19632	1.55943	146.42	11	1.82834	192.75	139	1.81529	260.23
13	18716	1.40613	112.76	7	1.99954	198.54	12	1.99901	261.75
14	19632	1.55943	108.04	9	1.99947	216.36	137	1.98963	248.88
15	19632	1.55943	117.41	13	1.83623	204.75	139	1.82941	293.62
16	20484	1.50008	127.04	5	1.99962	226.12	7	1.99931	260.24
17	19716	1.55377	117.22	13	1.99931	199.97	67	1.98614	252.70
18	18652	1.55865	121.52	13	1.99931	249.65	35	1.64361	302.02
19	20484	1.50008	111.70	5	1.99962	198.72	10	1.99909	247.43
20	19632	1.55943	108.99	13	1.52103	218.44	115	1.51692	334.95
21	19716	1.55377	117.51	9	1.99947	186.93	65	1.99393	294.65
22	19716	1.55377	111.88	13	1.53450	217.30	68	1.53249	326.50
23	17970	1.72649	106.15	5	1.99962	192.45	201	1.98229	253.79
24	20484	1.50008	116.98	5	1.99962	190.12	10	1.99909	370.40
25	20478	1.50046	119.88	5	1.99962	206.07	7	1.99931	290.35
26	17970	1.72649	109.69	5	1.99962	194.78	17	1.99871	265.53
27	17970	1.72649	136.47	10	1.99931	198.67	13	1.99886	241.02
28	17970	1.72649	100.65	5	1.99962	181.25	201	1.98229	249.22
29	20484	1.50008	112.26	5	1.99962	220.62	7	1.99931	226.61
30	20478	1.50046	106.02	5	1.99962	179.74	16	1.99886	246.07
31	19368	1.01537	100.16	9	1.99947	196.59	114	1.99083	238.79
