Graph Info:	./input_data/sphere/t_7.txt	Number of Vertices	4376
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	2300	1.24177	19.38	7	1.99590	13.09	101	1.89399	16.41
1	2300	1.24177	6.25	7	1.99590	13.10	99	1.90208	16.14
2	2328	1.43782	6.12	5	1.99658	12.90	43	1.96976	17.58
3	2540	1.10597	6.23	10	1.82239	12.30	13	1.81888	15.48
4	2300	1.24177	7.67	5	1.99658	12.41	102	1.92489	16.21
5	2680	1.01140	6.64	7	1.99590	11.86	63	1.94754	21.91
6	2292	1.51433	9.65	8	1.85046	28.26	33	1.81366	36.33
7	2680	1.01140	13.86	7	1.99590	22.39	54	1.95728	15.18
8	2292	1.51433	6.71	11	1.99454	16.67	32	1.97235	23.98
9	2340	1.48741	8.72	5	1.99658	13.57	7	1.99385	29.79
10	2748	1.01471	12.40	7	1.99590	30.94	28	1.97970	32.46
11	2344	1.44898	14.40	5	1.99658	15.67	43	1.96976	17.74
12	2288	1.38682	6.44	11	1.99454	14.60	68	1.94500	17.00
13	2540	1.10597	6.54	9	1.54203	13.67	11	1.54319	35.17
14	2288	1.38682	11.10	5	1.99658	28.24	65	1.95279	29.48
15	2300	1.24177	15.06	5	1.99658	12.43	101	1.92232	20.76
16	2318	1.43418	9.09	5	1.99658	21.09	52	1.96584	18.08
17	2300	1.24177	7.20	7	1.99590	17.61	90	1.91134	27.83
18	2288	1.38682	13.59	9	1.82539	32.83	68	1.78446	38.98
19	2344	1.44898	7.61	5	1.99658	15.90	43	1.96976	18.59
20	2680	1.01140	7.07	7	1.99590	14.15	56	1.86120	28.69
21	2680	1.01140	17.25	7	1.99590	47.13	54	1.95728	51.06
22	2368	1.27377	9.80	7	1.99590	12.52	66	1.92622	16.27
23	2368	1.27377	6.47	5	1.99658	12.40	68	1.95479	17.93
24	2292	1.51433	16.13	9	1.99522	28.08	30	1.97904	32.68
25	2340	1.48741	13.67	5	1.99658	28.66	7	1.99385	18.16
26	2354	1.45262	6.45	5	1.99658	12.25	43	1.96976	15.83
27	2680	1.01140	6.33	10	1.98367	12.67	63	1.94754	15.41
28	2354	1.45262	7.49	5	1.99658	25.15	43	1.96976	41.37
29	2328	1.43782	21.04	5	1.99658	23.96	43	1.96976	22.98
30	2300	1.24177	11.33	5	1.99658	15.65	92	1.93947	21.66
31	2342	1.44825	12.84	5	1.99658	31.32	46	1.96779	39.55
