Graph Info:	./input_data/sphere/t_3.txt	Number of Vertices	56
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	26	1.73333	0.33	7	1.62500	0.34	7	1.52000	0.39
1	26	1.73333	0.20	7	1.62500	0.20	7	1.52000	0.18
2	26	1.73333	0.08	6	1.69565	0.12	7	1.62500	0.17
3	31	1.80645	0.08	5	1.77273	0.13	5	1.77273	0.16
4	31	1.80645	0.07	5	1.77273	0.11	5	1.77273	0.16
5	26	1.73333	0.11	6	1.69565	0.22	7	1.62500	0.25
6	26	1.73333	0.14	7	1.62500	0.14	7	1.52000	0.18
7	35	1.16667	0.08	6	1.69565	0.16	9	1.50000	0.28
8	26	1.73333	0.12	7	1.62500	0.18	7	1.52000	0.18
9	26	1.73333	0.08	5	1.77273	0.12	5	1.65217	0.16
10	26	1.73333	0.07	7	1.62500	0.16	7	1.52000	0.17
11	26	1.73333	0.07	5	1.77273	0.13	7	1.62500	0.16
12	26	1.73333	0.07	5	1.77273	0.12	5	1.65217	0.16
13	26	1.73333	0.07	5	1.77273	0.12	5	1.65217	0.38
14	26	1.73333	0.12	7	1.62500	0.15	7	1.52000	0.17
15	36	1.30000	0.07	5	1.77273	0.12	5	1.65217	0.16
16	35	1.16667	0.08	6	1.69565	0.14	9	1.50000	0.18
17	35	1.16667	0.08	6	1.69565	0.12	9	1.50000	0.16
18	36	1.30000	0.07	5	1.77273	0.12	5	1.65217	0.16
19	31	1.80645	0.07	5	1.77273	0.12	5	1.77273	0.20
20	26	1.73333	0.08	7	1.62500	0.12	7	1.52000	0.16
21	26	1.73333	0.07	6	1.69565	0.12	7	1.62500	0.16
22	26	1.73333	0.07	5	1.77273	0.12	7	1.62500	0.16
23	37	1.16279	0.14	5	1.77273	0.18	11	1.57692	0.25
24	36	1.30000	0.13	5	1.77273	0.19	5	1.65217	0.27
25	26	1.73333	0.14	5	1.77273	0.22	7	1.62500	0.26
26	36	1.30000	0.12	5	1.77273	0.20	5	1.65217	0.25
27	36	1.30000	0.12	5	1.77273	0.20	5	1.65217	0.26
28	26	1.73333	0.12	6	1.69565	0.19	7	1.62500	0.26
29	36	1.30000	0.12	5	1.77273	0.20	5	1.65217	0.32
30	31	1.80645	0.10	5	1.77273	0.13	5	1.77273	0.30
31	26	1.73333	0.10	7	1.62500	0.14	7	1.52000	0.54
