Graph Info:	./input_data/sphere/t_1.txt	Number of Vertices	8
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	6	1.00000	0.05	4	1.40000	0.05	4	1.40000	0.05
1	4	2.00000	0.02	5	1.16667	0.05	5	1.16667	0.07
2	6	1.00000	0.03	4	1.40000	0.05	4	1.40000	0.07
3	4	2.00000	0.04	5	1.16667	0.05	5	1.16667	0.07
4	4	2.00000	0.03	5	1.16667	0.06	5	1.16667	0.14
5	6	1.00000	0.03	4	1.40000	0.04	4	1.40000	0.05
6	4	2.00000	0.02	5	1.16667	0.04	5	1.16667	0.05
7	4	2.00000	0.02	5	1.16667	0.04	5	1.16667	0.05
8	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.04
9	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.04
10	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.05
11	6	1.00000	0.02	4	1.40000	0.03	4	1.40000	0.04
12	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.04
13	6	1.00000	0.30	4	1.40000	0.04	4	1.40000	0.05
14	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.05
15	6	1.00000	0.02	4	1.40000	0.04	4	1.40000	0.04
16	6	1.00000	0.02	4	1.40000	0.03	4	1.40000	0.04
17	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.04
18	6	1.00000	0.02	4	1.40000	0.03	4	1.40000	0.04
19	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.04
20	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.04
21	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.05
22	6	1.00000	0.03	4	1.40000	0.05	4	1.40000	0.06
23	6	1.00000	0.03	4	1.40000	0.05	4	1.40000	0.06
24	6	1.00000	0.03	4	1.40000	0.05	4	1.40000	0.07
25	6	1.00000	0.03	4	1.40000	0.05	4	1.40000	0.06
26	4	2.00000	0.03	5	1.16667	0.05	5	1.16667	0.06
27	6	1.00000	0.02	4	1.40000	0.03	4	1.40000	0.04
28	6	1.00000	0.02	4	1.40000	0.03	4	1.40000	0.04
29	6	1.00000	0.02	4	1.40000	0.04	4	1.40000	0.06
30	4	2.00000	0.03	5	1.16667	0.03	5	1.16667	0.04
31	4	2.00000	0.02	5	1.16667	0.03	5	1.16667	0.04
