Graph Info:	./input_data/sphere/c_4.txt	Number of Vertices	326
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	154	1.12389	1.68	9	1.05521	3.69	9	1.04268	3.15
1	154	1.12389	1.20	9	1.01807	2.80	9	1.00599	4.88
2	154	1.12389	1.28	9	1.05521	2.76	9	1.04268	7.74
3	152	1.11504	2.33	9	1.44526	3.73	12	1.41429	2.98
4	132	1.77576	4.56	8	1.02424	3.11	15	1.01775	4.99
5	145	1.36683	2.74	10	1.02410	3.73	21	1.01744	9.70
6	154	1.12389	1.83	9	1.46324	2.91	9	1.44526	6.62
7	152	1.11504	1.74	9	1.04268	3.27	12	1.04848	7.37
8	132	1.77576	1.29	8	1.02424	2.29	15	1.01775	9.02
9	145	1.36683	1.23	8	1.42029	4.84	21	1.36054	5.42
10	154	1.12389	1.12	9	1.46324	7.80	9	1.44526	6.79
11	127	1.74545	5.02	10	1.04878	2.02	17	1.04167	2.68
12	145	1.36683	0.97	8	1.42029	1.85	21	1.36054	3.80
13	150	1.39196	0.91	8	1.42029	2.05	19	1.39583	3.32
14	145	1.36683	1.15	8	1.42029	2.02	21	1.36054	6.19
15	159	1.19457	0.95	9	1.00599	2.10	18	1.01170	2.59
16	174	1.11864	1.52	9	1.04268	2.15	12	1.02395	2.72
17	127	1.74545	0.95	10	1.03636	2.82	17	1.00585	2.95
18	176	1.10924	0.92	7	1.94690	1.74	7	1.92105	5.87
19	145	1.36683	0.94	8	1.42029	1.86	21	1.36054	3.05
20	127	1.74545	1.03	10	1.02410	1.96	17	1.01765	3.06
21	145	1.36683	2.22	10	1.43478	1.85	21	1.34459	2.65
22	152	1.11504	0.91	9	1.50000	15.74	12	1.50370	4.10
23	152	1.11504	1.39	9	1.44526	14.26	12	1.41429	3.02
24	145	1.36683	11.33	10	1.02410	1.95	21	1.01744	3.78
25	159	1.19457	1.77	9	1.03030	5.91	18	1.04762	2.97
26	154	1.12389	1.72	9	1.05521	4.55	9	1.04268	4.11
27	132	1.77576	1.60	8	1.02424	3.33	15	1.01775	4.28
28	145	1.36683	1.21	10	1.02410	3.96	21	1.01744	5.05
29	150	1.39196	1.10	8	1.42029	2.10	19	1.39583	4.38
30	127	1.74545	0.98	10	1.02410	4.41	17	1.01765	5.32
31	152	1.11504	1.75	9	1.50000	2.78	12	1.50370	6.14
