Graph Info:	./input_data/sphere/t_4.txt	Number of Vertices	164
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	104	1.43636	0.46	5	1.91379	0.54	13	1.76563	0.69
1	82	1.86047	0.32	5	1.91379	0.63	5	1.86441	0.86
2	81	1.78409	0.29	6	1.88136	0.46	9	1.79032	0.69
3	104	1.43636	0.27	8	1.60606	0.55	13	1.52857	0.55
4	92	1.09836	0.25	7	1.89831	0.57	7	1.85000	0.97
5	104	1.43636	1.56	8	1.49275	1.41	13	1.45833	1.26
6	97	1.13934	0.55	5	1.91379	0.54	5	1.91379	0.57
7	104	1.43636	0.24	5	1.91379	0.36	13	1.76563	0.48
8	92	1.09836	0.22	8	1.81967	0.35	8	1.81967	0.51
9	94	1.58000	0.24	5	1.91379	0.50	13	1.76563	0.95
10	83	1.57292	0.39	6	1.78689	0.51	15	1.63235	0.64
11	82	1.86047	0.26	5	1.91379	0.45	5	1.86441	0.50
12	104	1.43636	0.41	5	1.91379	0.67	13	1.76563	1.00
13	109	1.37391	1.32	5	1.91379	1.02	11	1.82258	0.72
14	104	1.43636	0.32	7	1.89831	0.58	13	1.76563	0.54
15	109	1.37391	0.31	5	1.91379	0.41	11	1.82258	0.51
16	92	1.61224	0.25	8	1.73016	0.43	16	1.57143	0.47
17	92	1.61224	0.22	8	1.73016	0.42	16	1.57143	0.47
18	94	1.58000	0.24	5	1.91379	0.43	13	1.76563	0.50
19	92	1.61224	0.23	5	1.91379	0.49	16	1.72727	0.45
20	92	1.09836	0.25	8	1.68750	0.49	8	1.64615	0.65
21	104	1.43636	0.29	7	1.89831	0.48	13	1.76563	0.63
22	94	1.58000	0.30	5	1.91379	0.50	13	1.76563	0.70
23	92	1.09836	0.38	7	1.89831	0.62	7	1.85000	0.79
24	94	1.58000	0.39	5	1.91379	0.51	11	1.69231	0.51
25	81	1.78409	0.21	6	1.88136	0.34	9	1.79032	0.48
26	83	1.57292	0.20	6	1.78689	0.32	15	1.63235	0.48
27	104	1.43636	0.21	5	1.91379	0.39	13	1.76563	0.58
28	94	1.58000	0.35	5	1.91379	0.35	13	1.76563	0.46
29	81	1.78409	0.20	6	1.88136	0.32	9	1.79032	0.60
30	92	1.61224	0.25	7	1.89831	0.35	16	1.64706	0.43
31	92	1.09836	0.22	8	1.68750	0.32	8	1.64615	0.52
