Graph Info:	./input_data/sphere/c_9.txt	Number of Vertices	78734
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	34594	1.02176	327.99	12	1.05963	470.16	116	1.05805	587.08
1	31931	1.52718	251.87	11	1.06620	698.56	22	1.06584	601.86
2	31169	1.50771	240.07	13	1.08237	463.81	60	1.08163	593.50
3	33247	1.26051	240.41	11	1.06620	453.90	36	1.06529	589.02
4	34014	1.28466	240.36	9	1.99973	425.62	20	1.99935	586.19
5	32443	1.24265	250.07	13	1.07792	481.73	108	1.07670	601.92
6	34014	1.28466	253.77	12	1.00714	462.67	61	1.00568	575.37
7	33295	1.26148	254.22	11	1.43740	524.79	13	1.43723	666.09
8	32527	1.24434	273.18	14	1.99958	477.17	69	1.99108	560.19
9	34594	1.02176	235.55	12	1.05963	463.71	107	1.05846	580.84
10	34690	1.02348	246.20	12	1.06547	465.01	35	1.06499	594.54
11	32527	1.24434	250.36	13	1.40927	438.87	70	1.40763	589.33
12	34210	1.01491	258.36	12	1.04514	480.49	203	1.04648	587.54
13	31703	1.52197	251.48	13	1.04447	474.13	60	1.04378	590.44
14	34210	1.01491	245.89	12	1.04514	486.01	203	1.04648	580.83
15	33295	1.26148	241.57	13	1.02565	457.13	16	1.02557	581.99
16	34210	1.01491	246.37	12	1.04663	465.77	37	1.04573	613.57
17	36756	1.20031	247.53	14	1.06872	462.12	68	1.06905	597.66
18	31703	1.52197	258.91	11	1.06620	477.49	60	1.06462	577.70
19	34678	1.02326	257.20	12	1.06547	453.05	69	1.06404	589.26
20	33295	1.26148	251.83	11	1.43740	451.43	13	1.43723	567.28
21	31703	1.52197	257.29	15	1.01781	467.31	60	1.01715	593.06
22	34210	1.01491	239.57	16	1.00005	469.23	37	1.00003	575.43
23	33289	1.26135	256.79	11	1.43740	464.07	22	1.43683	573.20
24	33061	1.25675	238.87	13	1.00507	467.67	58	1.00463	578.67
25	33061	1.25675	253.74	13	1.46415	443.76	70	1.46178	578.46
26	33295	1.26148	255.23	11	1.43740	454.44	16	1.43710	577.51
27	36672	1.20224	244.74	12	1.05963	481.09	107	1.05846	584.66
28	33289	1.26135	241.81	13	1.43429	460.78	13	1.43422	586.51
29	34210	1.01491	245.30	12	1.05963	462.25	281	1.05367	574.39
30	33247	1.26051	254.34	7	1.99977	440.09	31	1.99863	584.86
31	34014	1.28466	247.58	9	1.99973	439.92	36	1.99871	558.50
