Graph Info:	./input_data/sphere/t_2.txt	Number of Vertices	20
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	12	1.46154	0.13	5	1.50000	0.30	5	1.50000	0.21
1	12	1.46154	0.07	5	1.50000	0.11	5	1.50000	0.12
2	14	1.12500	0.06	6	1.36364	0.10	7	1.07692	0.12
3	14	1.12500	0.06	6	1.36364	0.09	7	1.07692	0.12
4	12	1.46154	0.09	5	1.50000	0.09	5	1.50000	0.11
5	14	1.12500	0.07	6	1.36364	0.10	7	1.07692	0.11
6	12	1.46154	0.05	5	1.50000	0.10	5	1.50000	0.11
7	14	1.12500	0.05	5	1.50000	0.08	7	1.25000	0.10
8	13	1.53846	0.05	5	1.50000	0.08	5	1.50000	0.11
9	14	1.12500	0.05	5	1.50000	0.08	7	1.25000	0.10
10	14	1.12500	0.05	5	1.50000	0.08	7	1.07692	0.11
11	14	1.12500	0.05	5	1.50000	0.08	7	1.25000	0.10
12	14	1.12500	0.04	5	1.50000	0.06	7	1.07692	0.07
13	14	1.12500	0.04	6	1.36364	0.08	7	1.07692	0.14
14	13	1.53846	0.05	5	1.50000	0.09	5	1.50000	0.10
15	14	1.12500	0.05	6	1.36364	0.08	7	1.07692	0.11
16	14	1.12500	0.05	5	1.50000	0.08	7	1.25000	0.10
17	13	1.53846	0.05	5	1.50000	0.08	5	1.50000	0.11
18	14	1.12500	0.05	6	1.36364	0.09	7	1.07692	0.15
19	14	1.12500	0.06	5	1.50000	0.06	7	1.07692	0.07
20	13	1.53846	0.04	5	1.50000	0.05	5	1.50000	0.07
21	12	1.46154	0.03	5	1.50000	0.05	5	1.50000	0.07
22	14	1.12500	0.03	5	1.50000	0.05	7	1.25000	0.13
23	13	1.53846	0.05	5	1.50000	0.08	5	1.50000	0.13
24	14	1.12500	0.09	5	1.50000	0.09	7	1.25000	0.11
25	14	1.12500	0.05	5	1.50000	0.11	7	1.25000	0.11
26	14	1.12500	0.05	5	1.50000	0.08	7	1.25000	0.11
27	12	1.46154	0.05	5	1.50000	0.09	5	1.50000	0.17
28	14	1.12500	0.05	6	1.36364	0.09	7	1.07692	0.12
29	13	1.53846	0.09	5	1.50000	0.11	5	1.50000	0.11
30	14	1.12500	0.05	5	1.50000	0.12	7	1.07692	0.10
31	14	1.12500	0.08	5	1.50000	0.13	7	1.25000	0.11
