Graph Info:	./input_data/sphere/c_10.txt	Number of Vertices	236198
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	101798	1.04873	762.19	13	1.08463	2234.96	24	1.08450	2189.41
1	90001	1.51856	1524.78	12	1.43747	1526.10	540	1.43460	2072.33
2	99608	1.67515	776.29	12	1.02597	1477.43	301	1.02565	2171.71
3	107450	1.01470	813.92	13	1.41027	1427.64	62	1.40946	1936.22
4	101798	1.04873	762.96	13	1.08463	1520.74	38	1.08431	2140.67
5	92131	1.54278	795.32	12	1.06622	1492.37	445	1.06372	2092.81
6	96832	1.23988	789.49	13	1.00715	1521.27	396	1.00597	2016.61
7	96832	1.23988	731.69	13	1.04664	1511.73	405	1.04522	2120.76
8	96832	1.23988	780.41	13	1.46745	1421.71	484	1.46274	2078.21
9	98224	1.25033	814.18	13	1.05965	1521.83	214	1.05885	2057.56
10	91279	1.53548	750.83	12	1.43747	1462.46	540	1.43460	2042.96
11	92131	1.54278	774.54	12	1.43747	1457.81	445	1.43608	2038.51
12	99212	1.68045	824.20	16	1.05131	1509.21	525	1.05125	2093.73
13	101798	1.04873	751.55	13	1.03037	1562.04	38	1.03058	2128.81
14	98692	1.25348	786.13	13	1.02668	1484.46	70	1.02664	2111.02
15	92125	1.54273	803.64	12	1.06622	1518.57	454	1.06364	1998.09
16	101762	1.04896	764.34	15	1.39837	1481.00	110	1.39768	2016.38
17	89617	1.51560	751.76	14	1.08239	1477.52	714	1.07991	2135.35
18	98704	1.25356	803.32	15	1.06610	1517.55	36	1.06590	2119.26
19	90085	1.51921	799.25	12	1.43747	1444.33	492	1.43531	2187.86
20	96832	1.23988	748.59	13	1.46745	1550.17	396	1.46475	2293.05
21	92083	1.54241	776.93	14	1.43430	1538.62	454	1.43289	2303.94
22	92131	1.54278	1018.85	12	1.43747	1603.23	445	1.43608	2207.13
23	108842	1.02372	782.65	15	1.44188	1584.96	292	1.44298	2165.94
24	107450	1.01470	768.07	15	1.47364	1498.92	71	1.47299	2133.43
25	96832	1.23988	791.87	13	1.04664	1638.94	484	1.04410	2092.62
26	99608	1.67515	779.92	12	1.02597	1635.90	310	1.02557	2183.76
27	107450	1.01470	853.18	16	1.99985	1431.07	70	1.99871	2084.86
28	91279	1.53548	803.16	14	1.04731	1602.48	540	1.04715	2213.22
29	101798	1.04873	895.21	13	1.00858	1571.88	38	1.00830	2116.02
30	99608	1.67515	780.30	12	1.06622	1590.52	324	1.06479	2107.28
31	101798	1.04873	851.92	13	1.00858	1506.17	15	1.00855	2185.10
