Graph Info:	./input_data/random/4.txt	Number of Vertices	50003
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	17527	1.27650	138.16	7	1.76757	320.56	252	1.76354	416.87
1	16825	1.08375	142.72	15	1.17460	303.24	116	1.17313	413.23
2	18425	1.01490	128.38	10	1.80546	278.15	85	1.79727	319.76
3	17840	1.20320	148.12	9	1.31109	305.62	119	1.31510	379.43
4	16091	1.39315	138.54	11	1.88981	259.85	339	1.85596	348.20
5	17869	1.25698	126.96	8	1.79173	280.45	348	1.76487	379.47
6	17859	1.20403	126.39	7	1.47550	288.57	42	1.47319	376.33
7	17492	1.27562	131.42	8	1.17780	289.57	138	1.16713	342.55
8	16107	1.37490	139.00	9	1.99904	265.07	344	1.97208	367.95
9	18006	1.25002	132.16	8	1.79173	271.11	194	1.78377	357.41
10	16091	1.39315	141.63	11	1.88981	257.19	299	1.85046	348.78
11	16121	1.37421	133.01	9	1.99904	274.90	442	1.96282	352.43
12	18385	1.23805	140.11	11	1.99862	260.60	126	1.98725	356.07
13	18028	1.24636	130.20	9	1.99904	269.92	27	1.99671	324.10
14	17033	1.10164	146.78	9	1.91768	261.03	49	1.91814	354.63
15	16726	1.00460	136.29	5	1.05981	287.14	195	1.05233	346.45
16	17179	1.10866	146.94	13	1.84521	262.18	127	1.84393	380.69
17	16193	1.37466	127.60	9	1.99904	275.53	407	1.95972	343.81
18	19318	1.17655	139.88	6	1.99509	253.61	229	1.96511	346.63
19	15425	1.46879	129.03	7	1.18843	296.73	273	1.18269	362.60
20	15348	1.47457	133.27	7	1.18843	284.55	238	1.18117	394.00
21	17889	1.08322	128.47	6	1.99509	260.77	49	1.98871	314.55
22	17581	1.18563	146.16	9	1.31109	285.89	75	1.31307	379.51
23	16982	1.01786	142.07	5	1.05981	286.64	78	1.06010	361.40
24	17026	1.10142	135.49	9	1.91768	256.72	78	1.91372	333.14
25	17902	1.25261	122.08	9	1.99904	261.74	72	1.99080	336.64
26	18896	1.17347	136.67	9	1.34512	275.37	300	1.33457	365.74
27	15908	1.55568	137.23	9	1.97036	270.29	125	1.98968	364.38
28	17064	1.02106	130.29	5	1.05981	275.26	66	1.06062	366.40
29	17590	1.26837	125.34	9	1.99904	261.19	116	1.98541	330.48
30	15960	1.40058	138.15	14	1.54242	268.43	203	1.53745	364.58
31	17064	1.02106	126.74	5	1.05981	287.54	65	1.06092	364.95
