Graph Info:	./input_data/grids/1.txt	Number of Vertices	63
Current run parameter:	use_max_degree_root = false
		Level Separator			Fundamental Cycle Separator			Lipton-Tarjan Separator
	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (ms)	Separator Size	Balance Ratio	Runtime (s)
0	18	1.18919	6.81	7	1.80000	4.79	13	1.45161	3.95
1	30	1.58333	2.27	8	1.53571	2.41	16	1.46875	5.48
2	30	1.58333	2.60	8	1.73077	5.94	12	1.41935	13.78
3	28	1.67647	0.92	11	1.74074	1.23	13	1.37500	2.26
4	31	1.00000	0.71	8	1.73077	1.25	15	1.36364	1.51
5	25	1.09524	1.45	10	1.51724	1.30	18	1.31429	1.79
6	30	1.58333	0.93	8	1.53571	1.34	16	1.46875	2.04
7	15	1.29412	0.75	10	1.60714	3.27	15	1.51613	1.45
8	25	1.09524	0.62	10	1.51724	9.12	18	1.31429	3.36
9	26	1.06977	0.94	11	1.74074	4.19	18	1.45455	2.70
10	19	1.48485	2.03	7	1.80000	0.83	11	1.46667	2.85
11	29	1.00000	0.45	10	1.02778	1.18	15	1.00000	0.91
12	29	1.62857	0.50	9	1.66667	1.24	11	1.55172	4.17
13	32	1.06522	4.33	9	1.76923	1.56	12	1.58621	1.06
14	15	1.29412	1.88	10	1.60714	1.77	15	1.51613	1.11
15	15	1.29412	0.44	8	1.62963	0.73	17	1.42424	1.32
16	27	1.81250	4.96	10	1.60714	1.28	17	1.42424	1.21
17	30	1.51351	7.24	7	1.69231	0.82	16	1.32353	1.02
18	15	1.29412	0.42	11	1.38710	0.76	18	1.31429	0.99
19	28	1.67647	0.46	11	1.74074	0.81	13	1.37500	2.09
20	25	1.09524	9.67	10	1.51724	2.23	18	1.31429	1.29
21	18	1.18919	0.46	12	1.41935	3.15	15	1.29412	1.16
22	30	1.51351	0.48	7	1.69231	0.82	16	1.32353	1.08
23	31	1.04348	0.53	9	1.76923	1.58	12	1.58621	1.34
24	29	1.62857	0.54	8	1.73077	1.19	12	1.41935	1.07
25	33	1.08696	0.52	10	1.60714	1.23	13	1.45161	2.07
26	25	1.25641	0.47	12	1.08333	0.87	14	1.08108	1.07
27	27	1.81250	0.43	10	1.60714	0.78	17	1.42424	4.32
28	25	1.25641	1.84	7	1.80000	0.82	13	1.00000	1.27
29	28	1.67647	0.47	11	1.74074	0.70	13	1.37500	1.09
30	30	1.58333	0.46	7	1.80000	2.14	11	1.46667	1.20
31	29	1.00000	16.33	10	1.02778	1.13	15	1.00000	2.88
